Dénomination actuelle;Fondateur(s) / Dirigeant(s) / Point de contact;Contact email;Site internet;Siège social (département);Nombre de salariés;Chiffre d'affaires;Nombre d'utilisateurs;Accompagnement / Incubation;En recherche financement;Cumul levée de fonds;Type d'innovation;Type de produits / services;Sport ciblé;Type d’utilisateurs;Clientèle cible;Résumé;Type de structure;Dernière levée de fonds;Année de création;Siège social (pays);Cas d'usage;Clients / Références;Statut de la solution;Catégorisation;Intégration / Compatibilité;Stade de développement;Niveau d'implantation marché français;Caractéristiques clés / proposition de valeur;Page Linkedin;Modèle économique;Awards
SENSAI;;contact@sensai.app;https://www.sensai.app/;;01-oct;;;;Non;;Intelligence artificielle / Machine Learning, Athletes & performance;Coaching sportif personnel basé sur l'IA (analyse vidéo);Multisport;B2C;Sportif amateur, Staff technique, Sportif professionnel;SENSAI est une application de coaching sportif par intelligence artificielle qui analyse les mouvements de l'utilisateur via la caméra pour fournir un feedback et un score en temps réel sur la qualité de l'exécution des exercices.;Start-up;;2023;;Coaching virtuel et personnalisation des entraînements grâce à l'analyse vidéo par IA.;;Actif;Athletes & performance, Intelligence artificielle / Machine Learning;Application mobile, vision par ordinateur;Jeune entreprise;International;Coaching instantané basé sur l'IA, détection d'erreurs d'exécution, score de performance.;https://www.linkedin.com/company/sensai-app/;Abonnement (Freemium/Premium);
SensoBall;Mickaël Auffret;contact@sensoball.com;https://sensoball.com;Paris (75);2–10;<1 M€;10 001–100 000;SportTech;Oui;200 000 € ;Capteurs intégrés, Intelligence Artificielle, Analyse de la performance;Ballon connecté (Produit physique + App);Football;B2C;Clubs, Joueurs amateurs et professionnels;Ballon de football connecté qui mesure et analyse la performance technique des joueurs (puissance de frappe, précision, rotation, etc.) via une application mobile.;Start-up;200 000 € (2020 - Pré-seed);2019;France;Amélioration de la technique individuelle, suivi des progrès des joueurs, entraînement ciblé.;Clubs de Football (formation), Écoles de foot, Joueurs B2C;Actif;Athletes & performance, Data & analytics;Application mobile (iOS/Android), Bluetooth;Phase de commercialisation;National/Européen;Transforme un ballon de football classique en outil d'analyse et de coaching, offrant un suivi précis et ludique de la technique.;https://www.linkedin.com/company/sensoball;Vente du produit physique, Abonnement (Premium App/B2B);
Shapeheart;Alexis Lussier-Desbiens;contact@shapeheart.com;https://shapeheart.com;Seine-Saint-Denis (93);11–50;1–10 M€;>100 000;SportTech;Non;1 500 000 € ;Aimantation, Capteurs de fréquence cardiaque, Accessoires;Brassards, Supports de vélo, Cardios (Produit physique);Running, Vélo, Fitness;B2C;Sportifs, Magasins de sport, E-commerce;Concepteur et distributeur de supports magnétiques pour smartphones (brassards et supports vélo) et de cardiofréquencemètres optiques.;Start-up;1,5 M€ (2020);2016;France;Fixation sécurisée et rapide du smartphone pendant l'activité, mesure de la fréquence cardiaque (brassard cardiaque).;FNAC, Decathlon, Magasins spécialisés, Utilisateurs B2C;Actif;Retail & merchandising, Athletes & performance;Compatible avec tous smartphones, Accessoires autonomes, Applications de sport standard;Établi;International (Présence en Europe et Asie);Système d'aimantation breveté garantissant la sécurité du smartphone et le confort d'utilisation durant le sport.;https://www.linkedin.com/company/shapeheart;Vente en B2C (E-commerce) et B2B (Distribution);
SHAPIN';;contact@shapin.tv;https://www.shapin.tv/;75 (Paris);01-oct;;;;Non;;Intelligence artificielle / Machine Learning, Médias / Streaming / OTT;Plateforme de streaming vidéo sportif à la demande;Multisport;B2C;Fan / Supporter;SHAPIN' est une plateforme OTT (Over-The-Top) qui agrège et diffuse des contenus vidéo sportifs spécifiques, souvent en partenariat avec des fédérations ou des ayants droit, proposant du live et du replay.;Start-up;;2023;France;Diffusion de contenus sportifs spécialisés via streaming.;Fédérations (ex: FFE), Ayants Droit;Actif;Médias / Streaming / OTT, Fan Experience / Fan engagement;Application web et mobile, intégration de flux vidéo;Jeune entreprise;National;Diffusion de sports et compétitions peu médiatisées, accès direct à la demande.;https://www.linkedin.com/company/shapin-tv/;Abonnement (SVoD), Vente à l'unité (TVoD);
Sharemysea;Pierre-Louis Guerin, Alexandre Hurbin (Co-fondateurs);contact@sharemysea.fr;https://www.sharemysea.fr/;33 (Gironde);01-oct;;;;Non;;Innovation sociale / Inclusion, Marketplace;Plateforme de partage et de location d'activités nautiques et de places de bateaux;Nautisme;B2C;Sportif amateur, Fan / Supporter;Sharemysea est une plateforme collaborative permettant aux propriétaires d'embarcations de partager leurs sorties ou de louer leurs bateaux. Elle met en relation les passionnés de mer et les professionnels du nautisme.;Start-up;;2020;France;Démocratiser l'accès aux activités nautiques et optimiser l'utilisation des bateaux.;Particuliers, professionnels du tourisme nautique;Actif;Marketplace, RSE & durabilité;Plateforme web et mobile;National;Facilite l'accès à la mer pour tous, modèle basé sur l'économie collaborative et le partage.;https://www.linkedin.com/company/sharemysea/;Commission sur les transactions, Abonnement (Pro);;
Sidas;;;https://www.sidas.com/fr/;38 (Isère);51-100;;;;Non;;;Semelles, chaussettes et accessoires pour le confort et la performance des pieds des sportifs;Multisport (Ski, Course à pied, Randonnée);B2B, B2C;Sportif amateur, Sportif professionnel, Staff technique;Sidas est spécialisé dans le confort et le bien-être du pied pour les sportifs, en proposant une gamme de produits thermoformables (semelles) et d'accessoires techniques.;Autre (PME/Marque);;1975;France;Amélioration du confort, prévention des blessures et optimisation de la performance par le pied.;Détaillants spécialisés, professionnels de la santé, athlètes;Actif;Retail & merchandising, Athletes & performance;Technologie de thermoformage, centres d'expertise (Podiatech);Très établi;International;Expertise reconnue dans l'anatomie du pied et la personnalisation des produits de confort sportif.;https://www.linkedin.com/company/sidas/;Vente de produits (B2B et B2C);
Ski Discount;;;https://www.skidiscount.fr/;;;;Non;;Non;;;Vente et location de matériel de ski neuf et d'occasion en ligne;Ski;B2C;Fan / Supporter, Sportif amateur;Ski Discount est un site d'e-commerce spécialisé dans la vente de matériel de ski à prix réduits, proposant des articles neufs ou d'occasion pour tous les niveaux.;Autre (E-commerce);;;France;Rendre le matériel de ski plus accessible financièrement.;;Actif;Retail & merchandising;Site e-commerce;Établi;National;Prix compétitifs sur une large sélection de matériel de ski neuf et d'occasion.;https://www.linkedin.com/company/ski-discount-location-de-skis/;Vente de produits (E-commerce);
SKI FAMILY;Olivier Cotte (Fondateur et CEO);contact@ski-family.fr;https://www.ski-family.fr/fr/;38 (Isère);01-oct;;;;Non;;Gestion / Management, Marketplace;Plateforme de réservation de cours de ski et d'activités en montagne;Ski;B2C;Sportif amateur;SKI FAMILY est une plateforme qui facilite la recherche, la comparaison et la réservation de cours et de stages de ski, snowboard, et autres activités de montagne auprès des écoles et moniteurs indépendants.;Start-up;;2019;France;Simplification de la réservation d'activités et de cours de glisse en montagne.;Écoles de ski, moniteurs indépendants, particuliers;Actif;Marketplace, Gestion / Management;Plateforme web avec moteur de recherche et système de paiement;Jeune entreprise;National;Centralisation de l'offre de cours de ski (y compris petits prestataires), réservation simple et rapide.;https://www.linkedin.com/company/ski-family/;Commission sur les réservations (Marketplace);
Ski Fit 360;;contact@skifit360.fr;https://www.skifit360.fr/;;01-oct;;;;Non;;Athletes & performance;Programme d'entraînement physique et préparation spécifique pour le ski;Ski;B2C;Sportif amateur;Ski Fit 360 propose des programmes d'entraînement en ligne pour préparer physiquement les skieurs amateurs à la saison d'hiver, afin de maximiser le plaisir et de minimiser les risques de blessure.;Autre (Service en ligne);;;France;Préparation physique ciblée pour le ski (prévention et performance).;Particuliers;Actif;Athletes & performance;Plateforme d'e-learning et application mobile de suivi;Jeune entreprise;National;Programme d'entraînement complet spécifiquement conçu par des professionnels du ski et de la préparation physique.;https://www.linkedin.com/in/vincent-blanco-skifit360-93a83015/;Abonnement (SaaS);
Skill Corner;Hugo Bordet, Antoine Le Pomellec, Léo-Gatien Simon (Co-fondateurs);contact@skillcorner.com;https://www.skillcorner.com/;75 (Paris);nov-50;;;;Non;4 M€;Intelligence artificielle / Machine Learning, Data / Analytics;Fourniture de données athlétiques et techniques sans capteur (tracking optique) pour le football;Football;B2B;Club professionnel, Média;Skill Corner utilise l'Intelligence Artificielle et la vision par ordinateur pour extraire des données de performance des joueurs (vitesse, accélération, positionnement) à partir de n'importe quelle diffusion vidéo de match, sans nécessiter de caméras dédiées ni de capteurs portés.;Start-up;4 M€ (2020);2016;France;Analyse de performance et recrutement de joueurs de football grâce à la data vidéo.;Clubs de football professionnels, ligues, fédérations, médias;Actif;Data & analytics, Intelligence artificielle / Machine Learning;API, Plateforme SaaS;International;Solution de tracking optique vidéo par IA, permettant d'accéder à des données physiques et techniques pour des matchs non couverts par les systèmes traditionnels.;https://www.linkedin.com/company/skillcorner/;Abonnement (SaaS), Licence de données;;
SkillCorner;Hugo Bordigoni, Grégoire Crestey;contact@skillcorner.com;https://skillcorner.com;Paris (75);11–50;1–10 M€;>100 000;SportTech;Non;7 000 000 € ;Intelligence Artificielle, Computer Vision (Vision par ordinateur), Data Tracking;Logiciel d'analyse vidéo et de tracking (SaaS);Football, Basketball;B2B;Clubs professionnels, Diffuseurs, Médias, Paris sportifs;Solution B2B qui utilise l'**Intelligence Artificielle (Computer Vision)** pour extraire automatiquement des données de tracking et de performance de n'importe quelle source vidéo de match.;Start-up;7 M€ (2021 - Série A);2016;France;Fourniture de données de position et de performance (vitesse, distance) des joueurs à partir de flux vidéo broadcast, analyse tactique, enrichissement des commentaires TV.;Clubs de Football Européens, Ligues, Diffuseurs TV (B2B);Actif;Data & analytics, Athletes & performance, Médias / Streaming / OTT;API, Flux de données standardisés, Intégration dans les plateformes de club;Leader;International (Clientèle mondiale);Extraction de données de performance fiables et en temps réel sans capteurs (No-hardware solution), à partir de n'importe quel match diffusé.;https://www.linkedin.com/company/skillcorner;Abonnement (SaaS B2B), Licence d'utilisation des données;
Smart Sport Solutions;Pierre-Jean Griffon;contact@smartsport.solutions;https://smartsport.solutions;Paris (75);2–10;<1 M€;0–100;SportTech;Oui;100 000 € ;Capteurs, IoT, Plateforme de données;Systèmes de mesure (Produit physique + SaaS);Multisports (Athlétisme, Natation, Sports de combat);B2B;Clubs, Institutions, Fédérations, Centres d'entraînement;Fournisseur de solutions technologiques pour la mesure de la performance et l'analyse des données d'entraînement, en intérieur et extérieur (capteurs, chronométrage, plateformes data).;Start-up;100 000 € (2021 - Love Money);2020;France;Mesure de la vitesse et de la force, chronométrage précis, suivi des athlètes en temps réel, création de plateformes d'analyse de données sur-mesure.;Fédérations sportives (Tests), Clubs (Centres de performance);Actif;Athletes & performance, Data & analytics, IoT / Wearables;Capteurs propriétaires (Bluetooth/Wi-Fi), Plateforme web/mobile (SaaS);Phase de commercialisation;National;Offre une mesure objective et ultra-précise de la performance physique et technique pour l'optimisation de l'entraînement.;https://www.linkedin.com/company/smartsport-solutions;Vente des équipements (Hardware), Abonnement (SaaS B2B);
SmartCoaching;Gérald Eoche;contact@smartcoaching.io;https://smartcoaching.io;Paris (75);2–10;<1 M€;501–2 500;SportTech;Oui;250 000 € ;Intelligence Artificielle, Application mobile, Coaching personnalisé;Application de coaching (SaaS);Fitness, Running, Entraînement physique;B2C;Sportifs amateurs, Coachs personnels, Entreprises;Application de coaching sportif qui utilise l'IA pour créer des programmes d'entraînement personnalisés et évolutifs en fonction de la progression et des données de santé de l'utilisateur.;Start-up;250 000 € (2020 - Pré-seed);2017;France;Planification d'entraînement intelligente, suivi de l'état de forme et de la récupération, conseils personnalisés pour l'activité physique.;Utilisateurs B2C, Partenariats avec des Mutuelles/Assurances;Actif;Athletes & performance, Gestion / Management;Application mobile (iOS/Android), Synchronisation avec objets connectés (Garmin, Strava, Apple Health);Phase de commercialisation;National;Propose un coach virtuel qui s'adapte en temps réel, comme un coach humain, mais accessible à tout moment et à faible coût.;https://www.linkedin.com/company/smartcoaching;Abonnement (SaaS B2C Premium);
Smc2;N/A (Dirigeant : Laurent CHALOPIN);info@smc2.fr;https://www.smc2-construction.com/;73 (Savoie);51-100;;;;Non;;Innovation environnementale, Innovation sociétale / Gouvernance Responsable;Conception et construction de bâtiments sportifs (gymnases, courts couverts) et d'équipements sportifs avec des matériaux biosourcés;Multisport;B2B;Collectivité, Club amateur / Association, Entreprise;Smc2 est spécialisé dans la construction de bâtiments sportifs innovants, notamment en utilisant des structures bois et des toiles textiles. L'entreprise met l'accent sur l'aspect durable et la performance énergétique.;Autre (Constructeur/BTP);;2003;France;Réalisation d'infrastructures sportives couvertes, durables et à faible impact environnemental.;Collectivités locales, clubs sportifs, écoles;Actif;Venue Management / Gestion de salle / Operations, RSE & durabilité;Conception, ingénierie, construction;Très établi;National;Spécialisation dans les structures bois-textile pour le sport (approche durable et esthétique).;https://www.linkedin.com/company/smc2-construction/;Prestations de services (Construction);
Snooc;Olivier Wase (Fondateur et CEO);contact@snooc.ski;https://snooc.ski/;73 (Savoie);01-oct;;;;Non;;Innovation sociétale / Gouvernance Responsable, Innovation environnementale;Matériel hybride combinant ski de randonnée et luge pour la descente;Ski, Randonnée;B2C;Sportif amateur;Snooc a inventé un concept hybride permettant de monter en ski de randonnée (splitboard) et de redescendre en luge, rendant la montagne accessible sans remontées mécaniques, pour un usage à la fois sportif et de loisir.;Start-up;;2016;France;Rendre la montagne accessible en hiver sans dépendre des infrastructures de remontées mécaniques.;;Actif;Retail & merchandising, Innovation sociale / Inclusion;Matériel physique breveté;Jeune entreprise;International;Équipement 2-en-1 unique, favorisant l'accès à la montagne de manière douce et autonome (sans remontées).;https://www.linkedin.com/company/snooc/;Vente de produits (E-commerce, Détaillants), Location;
Snowball.Gg;Nicolas Le Seach, Pierre Goulley, Raphaël de Moidrey (Co-fondateurs);contact@snowball.gg;https://snowball.gg/;75 (Paris);nov-50;;;;Oui;;Data / Analytics, Gaming / Fantasy / Esport, Intelligence artificielle / Machine Learning;Plateforme de données et d'analyse pour les compétitions d'Esport;Esport;B2B;Média, Organisateur événement / compétition, Sponsor / Mécène;Snowball.Gg fournit des données statistiques détaillées et des outils d'analyse pour les ligues, les organisateurs d'événements et les médias dans le domaine de l'Esport, en utilisant l'IA pour traiter les informations de jeu.;Start-up;;2018;France;Fournir une infrastructure de données fiable et détaillée pour l'écosystème Esport.;Organisateurs d'événements Esport (LFL, BLAST), médias;Actif;Gaming / Fantasy / Esport, Data & analytics;API, Plateforme web;International;Data Esport très précise, outils d'aide à la décision pour les parties prenantes de l'Esport.;https://www.linkedin.com/company/snowball-gg/;Licence de données, Abonnement (SaaS);;
SoccArena;Paul Rivet;contact@soccarena.fr;https://soccarena.fr;Seine-Saint-Denis (93);11–50;<1 M€;2 501–10 000;SportTech;Oui;1 000 000 € ;IoT, Data, Gamification;Installation de terrains connectés (Service Phygital);Football (Foot à 5, 7, etc.);B2B2C;Clubs, Centres de foot indoor, Collectivités;Système de terrains de football connectés avec caméras, capteurs et une application pour l'analyse des matchs, le scoring automatique et la création de contenus (style TopBut).;Start-up;1 M€ (2022 - Seed);2021;France;Rendre l'expérience du foot amateur plus engageante et professionnelle (stats, vidéos highlights), gestion de ligues et tournois automatisée.;Centres de Foot5, Complexes Sportifs Privés (B2B);Actif;Fan Experience / Fan engagement, Data & analytics, Gaming / Fantasy / Esport;Caméras/Capteurs fixes (IoT), Plateforme SaaS pour les gérants, Application mobile (B2C);Phase de commercialisation;National;Digitalisation complète de l'expérience du Foot à 5 (stats, vidéo, highlights) pour les joueurs amateurs et les gérants de centres.;https://www.linkedin.com/company/soccarena;Abonnement (SaaS B2B - Centres), Commission sur les services additionnels (vidéo);
Social First;Mikko L. (CEO);info@socialfirstgames.com;www.socialfirstgames.com;Helsinki, Finlande;nov-50;;;;Non;6 700 000 $;Web3 / Blockchain / Tokenisation;Studio de développement de jeux sociaux (Sandbox MMO) multiplateformes avec contenu généré par l'utilisateur (UGC).;N/A (Jeux généralistes);B2C;Fan / Supporter;Social First est un nouveau studio, très expérimenté dans les MMO sandbox sociaux multiplateformes. Notre titre actuel est basé sur des années d'apprentissage et de données, offrant une évolution significative dans l'UGC, le commerce d'actifs numériques et le gameplay social.;Start-up;6 700 000 $;2021;Finlande;Développement et publication de jeux vidéo sociaux et UGC.;Joueurs;Actif;Gaming / Fantasy / Esport;Plateformes de jeu (cross-platform);Établi;Faible;Expertise dans les jeux sociaux massifs avec monétisation UGC et actifs numériques.;https://www.linkedin.com/company/social-first-games/;Achats in-app, Vente d'actifs numériques;
Sorare;Nicolas Julia (CEO), Adrien Montfort (Co-fondateur);;sorare.com;Paris (75);220;N/A (CA en baisse à 43M€ en 2024 selon la presse);4 000 000 (Estimation, près de 4M en 2021);French Tech 120;Oui (Potentiellement, vu la situation financière reportée par la presse en 2025);627 500 000 €+;Web3 / Blockchain / Tokenisation, Gaming / Fantasy / Esport, Data / Analytics;Jeu de Fantasy Sports basé sur la blockchain (cartes numériques NFT sous licence officielle), compétitions liées aux performances réelles des joueurs.;Multisport (Football - Premier League, NBA, MLB);B2C (Fans/Managers) & B2B (Ligues, Clubs);Fan / Supporter, Club professionnel, Ligue / Comité, Fédération;Jeu de Fantasy Sports basé sur la collection et l'échange de cartes numériques (NFT) de joueurs sous licence officielle, offrant des récompenses en fonction de leurs performances réelles sur le terrain.;Start-up (Licorne);Série B de 580 000 000 € (Septembre 2021);2018;France;Engagement et monétisation des fans de sport via la propriété d'actifs numériques (NFT) et le jeu de fantasy.;Premier League, NBA, MLB, LaLiga, Bundesliga, Ligue 1;Actif;Gaming / Fantasy / Esport, Web3 / Blockchain / Tokenisation, Fan Experience / Fan engagement;Technologie NFT (ERC-721), blockchain Ethereum, partenariats de licences officielles avec les plus grandes ligues.;Licorne (Valorisation à 4,3 MD$ en 2021);Forte (Global);Création du champion mondial de l'entertainment sportif via la technologie NFT et l'interconnexion entre le virtuel et les performances réelles.;https://www.linkedin.com/company/sorarehq/;Vente de cartes NFT (marché primaire et secondaire), Commissions de transaction;Plus Grosse Levée de fonds de la French Tech (2021)
Sparring Bear;Anthony MEYER (Fondateur);contact@sparringbear.fr;https://www.sparringbear.fr/;;01-oct;;;;Non;;Gestion / Management;Plateforme de mise en relation pour les pratiquants de sports de combat (recherche de salles, cours, partenaires, événements).;Sports de combat (Boxe, MMA, Judo, etc.);B2C;Sportif amateur, Club amateur / Association;Sparring Bear est une plateforme web et mobile qui connecte la communauté des sports de combat, permettant aux utilisateurs de trouver facilement des lieux d'entraînement, des coachs, et des partenaires de sparring.;Start-up;;2021;France;Faciliter l'accès et l'organisation de la pratique des sports de combat.;Salles de sport, coachs indépendants, pratiquants;Actif;Marketplace, Gestion / Management, Fan Experience / Fan engagement;Plateforme web et application mobile (en développement);Jeune entreprise;National;L'annuaire des sports de combat : centralisation de l'offre et de la demande dans un domaine très spécifique.;https://www.linkedin.com/company/sparring-bear/;Abonnement (B2B pour les salles), Commission (B2C sur les réservations);
Splash Sports;Patrick T. (Co-Fondateur);info@splashsports.com;splashsports.com;Denver, Colorado;nov-50;;;;Non;28 600 000 $;Gaming / Fantasy / Esport, Web3 / Blockchain / Tokenisation;Plateforme de jeux d'argent réel (real-money gaming) et de pools sportifs.;Multisport;B2C;Fan / Supporter;Splash Sports est une plateforme de jeux d'argent réel qui permet aux amis et aux groupes de participer à des activités basées sur les compétences et modernise l'industrie des pools sportifs. Splash Sports offre un substitut nécessaire aux options de paris conventionnelles.;Start-up;28 600 000 $;2021;États-Unis;Organisation de pools sportifs personnalisés et de compétitions de jeux d'argent entre amis/communautés.;Utilisateurs (fans, parieurs);Actif;Gaming / Fantasy / Esport;Plateforme web et mobile, gestion de la conformité réglementaire;Jeune entreprise;Faible;Modernisation et légalisation des pools sportifs traditionnels (pari entre amis).;https://www.linkedin.com/company/splashsports/;Frais de plateforme, rake sur les pools;
Splink;Duarte D. (CEO);hello@splinkofficial.com;www.splinkofficial.com;Lisbonne, Lisboa;nov-50;;;;Non;7 600 000 € ;Réalité Virtuelle / Réalité Augmentée, Fan Experience / Fan engagement;Technologie de Réalité Augmentée (AR) liée à des objets de collection physiques (maillots de club).;Multisport;B2B, B2C;Club professionnel, Fan / Supporter;Splink vous permet de vous connecter à votre club de manière innovante grâce à un objet de collection physique, comme la collection de maillots de vos joueurs préférés, et d'entrer dans un monde de Réalité Augmentée (AR) grâce à leur technologie de pointe.;Start-up;7 600 000 € ;2020;Portugal;Engagement des fans, gamification des produits dérivés, collection de maillots améliorée par l'AR.;Clubs de football, ligues, autres organisations sportives;Actif;Fan Experience / Fan engagement, Réalité Virtuelle / Réalité Augmentée;Application mobile AR, intégration avec les produits physiques (QR codes, puces);Établi;Faible;Le pont entre les produits physiques du club et l'expérience numérique en réalité augmentée pour les fans.;https://www.linkedin.com/company/splink/;Abonnement (B2B pour les clubs), Commission sur les ventes;
Sport Découverte;Jean-Luc LUBRANO, Audrey LUBRANO (Dirigeants);N/A (Formulaire ou contact@sport-decouverte.com);https://www.sport-decouverte.com/;13 (Bouches-du-Rhône);nov-50;;;;Non;;Marketplace;Site de réservation en ligne d'activités sportives et de loisirs à sensations (vols, sports mécaniques, sports nautiques, etc.).;Multisport;B2C;Sportif amateur, Fan / Supporter;Sport Découverte est une agence de voyages en ligne spécialisée dans la vente d'expériences sportives, d'activités de loisirs et de stages thématiques, servant d'intermédiaire entre les prestataires et le grand public.;Autre (Agence de voyages / Marketplace);;2003;France;Réserver et offrir des activités sportives (baptêmes, stages, expériences).;Partenaires (prestataires d'activités), Particuliers;Actif;Marketplace;Plateforme e-commerce;Très établi;National;Catalogue étendu d'activités sportives et d'idées cadeaux (chèques cadeaux thématiques).;https://www.linkedin.com/company/sport-decouverte/;Commission sur les ventes (Marketplace);
Sport Heroes;Boris Pourreau, Jean-Charles Touzalin, Paul-Émile Saab;contact@sportheroes.com;https://sportheroes.com;Paris (75);51–250;>10 M€;>1 000 000;SportTech;Non;6 300 000 € ;Gamification, Plateforme d'engagement, Bien-être en entreprise;Plateforme d'animation de communautés (SaaS);Tous sports (Running, Vélo, Marche, etc.);B2B2C;Entreprises (Corporate Wellness), Marques, Organisateurs d'événements;Plateforme mondiale de motivation par le sport et le bien-être, notamment via l'application **United Heroes** (pour les entreprises) et l'animation de communautés sportives (Running Heroes, etc.).;PME;4 M€ (2018 - Série A);2014;France;Programmes de bien-être en entreprise, défis sportifs connectés (Corporate Challenges), animation de communautés sportives (B2C).;Plus de 350 entreprises (United Heroes), Grandes marques du Sport, Fédérations;Actif;Gestion / Management, RSE & durabilité, Fan Experience / Fan engagement;Agrégation de données depuis 13+ applications/montres connectées (Strava, Garmin, etc.), Plateforme SaaS B2B;Leader;International (Bureaux à Londres et Sydney en 2015);Encourager et récompenser l'activité physique en transformant les efforts quotidiens en récompenses ou en engagement solidaire.;https://www.linkedin.com/company/sport-heroes;Abonnement (SaaS B2B - United Heroes), Prestations d'agence (We Are Heroes), Partenariats marques (B2C);
Sporteed;Nicolas Chaverou;contact@sporteed.com;https://sporteed.com;Paris (75);2–10;<1 M€;501–2 500;SportTech;Oui;600 000 € ;Plateforme d'échange, Économie circulaire (Seconde main);Marketplace (SaaS);Multisports;B2C;Sportifs, Familles, Clubs, Marques (pour l'occasion);**Marketplace** d'achat/vente d'articles de sport d'occasion (et neufs) entre particuliers, favorisant l'économie circulaire et l'accessibilité.;Start-up;600 000 € (2022 - Seed);2020;France;Vendre et acheter du matériel sportif d'occasion (vêtements, équipements) de manière sécurisée et solidaire, prolonger la durée de vie des produits.;Utilisateurs B2C (sportifs et familles), Partenariats avec des marques/clubs (collecte/revente);Actif;Marketplace, RSE & durabilité, Retail & merchandising;Application mobile (iOS/Android), Plateforme web;Phase de commercialisation;National;Rendre le sport plus **écologique et accessible** en créant une solution de seconde main dédiée au sport.;https://www.linkedin.com/company/sporteed;Commission sur les transactions (Marketplace);
SportFever;Nicolas Dubost;contact@sportfever.fr;https://sportfever.fr;Paris (75);2–10;<1 M€;0–100;SportTech;Oui;0;Data, Intelligence Artificielle, Automatisation de contenu;Service de production de contenu (SaaS/Agence);Multisports;B2B;Clubs, Médias, Marques, Fédérations;Solution qui utilise la data et l'IA pour automatiser la production de contenus sportifs enrichis (statistiques, graphiques, infographies) pour les médias sociaux ou les plateformes de diffusion.;Start-up;;2022;France;Production rapide et à grande échelle de contenus data-driven pour les réseaux sociaux, création d'expériences graphiques interactives pour les fans.;Clubs sportifs (Équipes de communication), Médias sportifs (B2B);Actif;Médias / Streaming / OTT, Data & analytics, Fan Experience / Fan engagement;Plateforme web (SaaS), API d'intégration de données sportives;Phase de démarrage;National;Permet aux acteurs du sport de produire instantanément du contenu data de haute qualité sans mobiliser des ressources graphiques importantes.;https://www.linkedin.com/company/sportfever;Abonnement (SaaS B2B), Prestation de services (Production de contenu);
Sportigio;Marcin KOŁODZIEJCZYK (CEO);marcin@sportigio.com;sportigio.com;Warsaw, Mazowieckie;01-oct;;;;Non;;Gestion / Management, Data / Analytics;Solutions informatiques dédiées aux organisations sportives (gestion, sites web, applications mobiles, engagement des fans).;Multisport;B2B;Club professionnel, Fédération, Organisateur événement / compétition;Nous fournissons des solutions informatiques dédiées aux organisations sportives. Nous créons des Champions Numériques.;Start-up;;2021;Pologne;Digitalisation des opérations (site web, application mobile), gestion d'équipe/club, engagement des fans.;Fédérations sportives (Pologne), Clubs;Actif;Gestion / Management, Fan Experience / Fan engagement;Plateforme de gestion intégrée, applications mobiles sur mesure;Établi;Faible;Fournit une suite complète de solutions numériques et informatiques pour la gestion et l'engagement des organisations sportives.;https://www.linkedin.com/company/sportigio/;Contrats de service, Abonnement (SaaS B2B);
Sportihome;Sylvain LAVEAU, Frédéric DEHORS, Nicolas MAUGENDRE (Co-fondateurs);contact@sportihome.com;https://sportihome.com/fr;34 (Hérault);01-oct;;;Accélérateur (ex: Le Tremplin);Non;;Marketplace, Innovation sociétale / Gouvernance Responsable;Plateforme collaborative de location d'hébergements entre particuliers, centrée sur la pratique sportive et le partage d'expériences.;Multisport;B2C, B2B2C;Sportif amateur, Fan / Supporter;"Sportihome est le ""Airbnb des sportifs"", une plateforme communautaire et de réservation d'hébergements où les voyageurs peuvent aussi découvrir des activités sportives locales et échanger avec les hôtes, souvent eux-mêmes sportifs.";Start-up;;2016;France;Location d'hébergements adaptés à la pratique sportive (stockage matériel, proximité spots) et découverte de spots d'activités.;Particuliers (Hôtes et Voyageurs), Professionnels du tourisme sportif;Actif;Marketplace, Fan Experience / Fan engagement;Plateforme web et application mobile;Établi;International (principalement Europe);Plateforme d'hébergement spécialisée qui valorise le partage de l'expérience sportive locale entre passionnés.;https://www.linkedin.com/company/sportihome/;Commission sur les transactions (Marketplace);
Sportiw;Vincent Langlet;contact@sportiw.io;https://sportiw.io;Loire (42) / Siège social : Savoie (73);2–10;<1 M€;>100 000;SportTech;Oui;1 000 000 € ;Matching (Recrutement), Intelligence Artificielle, Réseau social professionnel;Plateforme de recrutement (SaaS/Réseau social);Football, Basketball, Rugby, Sports collectifs;B2B, B2C;Clubs professionnels, Agents sportifs, Athlètes, Coachs;**Réseau social professionnel** et plateforme de recrutement qui utilise l'IA pour mettre en relation les clubs, les agents et les athlètes semi-professionnels ou professionnels.;Start-up;1 M€ (2024 - Seed);2018;France;Recrutement d'athlètes (matching), gestion de carrière pour les athlètes, outil de sourcing pour les clubs et agents.;Clubs professionnels (Football/Basket), Athlètes B2C, Agents sportifs (B2B);Actif;Gestion / Management, Athletes & performance, Data & analytics;Plateforme web et mobile (SaaS), API (pour données joueurs);Établi;International (Utilisateurs dans 180+ pays);"Le ""LinkedIn"" du sport professionnel, facilitant la mobilité des talents et le recrutement grâce à la data et à l'IA.";https://www.linkedin.com/company/sportiw;Abonnement (SaaS B2B - Clubs/Agents), Freemium (B2C - Athlètes);
